K,n,error.osc,error.ssc.A,error.louvain,error.ssc.ase
4,4096,0,0,0.645263671875,2.44140625e-4
4,4096,0,4.8828125e-4,0.657958984375,0
4,4096,0,0,0.656494140625,2.44140625e-4
4,4096,0,2.44140625e-4,0.659912109375,4.8828125e-4
4,4096,0,2.44140625e-4,0.66064453125,9.765625e-4
4,4096,2.44140625e-4,4.8828125e-4,0.65771484375,0
4,4096,0,0,0.66015625,0
4,4096,0,2.44140625e-4,0.64599609375,7.32421875e-4
4,4096,2.44140625e-4,4.8828125e-4,0.644775390625,4.8828125e-4
4,4096,2.44140625e-4,0,0.652587890625,2.44140625e-4
4,4096,0,9.765625e-4,0.662841796875,0.016845703125
4,4096,0,0,0.65869140625,0
4,4096,0,0,0.65966796875,4.8828125e-4
4,4096,0,4.8828125e-4,0.646240234375,0
4,4096,0,9.765625e-4,0.658203125,0
4,4096,0,0,0.652587890625,0
4,4096,0,2.44140625e-4,0.64697265625,0.283203125
4,4096,0,0.3525390625,0.63916015625,0
4,4096,0,2.44140625e-4,0.64990234375,0
4,4096,0,0,0.656005859375,4.8828125e-4
4,4096,2.44140625e-4,4.8828125e-4,0.646484375,0.001708984375
4,4096,0,2.44140625e-4,0.65478515625,0
4,4096,0,0,0.647705078125,7.32421875e-4
4,4096,0,2.44140625e-4,0.6484375,4.8828125e-4
4,4096,0,2.44140625e-4,0.64697265625,0.0078125
4,4096,0,2.44140625e-4,0.644287109375,0.0146484375
4,4096,0,2.44140625e-4,0.655029296875,2.44140625e-4
4,4096,0,2.44140625e-4,0.650390625,0.281494140625
4,4096,0,0,0.647216796875,0
4,4096,2.44140625e-4,0,0.640625,0.011962890625
4,4096,2.44140625e-4,2.44140625e-4,0.6611328125,0
4,4096,2.44140625e-4,2.44140625e-4,0.659912109375,4.8828125e-4
4,4096,0,4.8828125e-4,0.618896484375,0.003662109375
4,4096,0,2.44140625e-4,0.65234375,0.00341796875
4,4096,0,4.8828125e-4,0.654296875,0
4,4096,0,4.8828125e-4,0.659912109375,0.003662109375
4,4096,0,0,0.660400390625,4.8828125e-4
4,4096,0,2.44140625e-4,0.642822265625,0
4,4096,2.44140625e-4,0,0.664306640625,2.44140625e-4
4,4096,0,7.32421875e-4,0.6572265625,0
4,4096,0,7.32421875e-4,0.658935546875,2.44140625e-4
4,4096,0,0,0.66015625,0
4,4096,0,2.44140625e-4,0.650146484375,2.44140625e-4
4,4096,0,0,0.656982421875,0.00439453125
4,4096,0,0,0.64892578125,0.01904296875
4,4096,0,4.8828125e-4,0.656005859375,0
