K,n,error,error.ssc,error.mm
4,4096,7.32421875e-4,0.0029296875,0.186767578125
4,4096,4.8828125e-4,0.002197265625,0.079833984375
4,4096,4.8828125e-4,0.003173828125,0.1826171875
4,4096,0,0.001708984375,0.073486328125
4,4096,2.44140625e-4,0.13134765625,0.0751953125
4,4096,2.44140625e-4,0.0029296875,0.080078125
4,4096,4.8828125e-4,0.002685546875,0.179443359375
4,4096,7.32421875e-4,0.00439453125,0.193115234375
4,4096,9.765625e-4,0.001953125,0.182373046875
4,4096,0.1201171875,0.00244140625,0.077880859375
4,4096,7.32421875e-4,0.002197265625,0.078369140625
4,4096,0,0.007080078125,0.186279296875
4,4096,4.8828125e-4,0.00244140625,0.1865234375
4,4096,0,0.005126953125,0.076904296875
4,4096,0.113037109375,0.004150390625,0.1787109375
4,4096,7.32421875e-4,0.001953125,0.08349609375
4,4096,4.8828125e-4,0.002197265625,0.185546875
4,4096,9.765625e-4,0.002685546875,0.181884765625
4,4096,2.44140625e-4,0.0029296875,0.18359375
4,4096,4.8828125e-4,0.001220703125,0.185791015625
4,4096,2.44140625e-4,0.00537109375,0.18310546875
4,4096,4.8828125e-4,0.007568359375,0.183349609375
4,4096,0,0.01171875,0.184326171875
4,4096,0,0.00341796875,0.197265625
4,4096,0,0.002685546875,0.08349609375
4,4096,0,0.00439453125,0.18359375
4,4096,0,7.32421875e-4,0.07275390625
4,4096,2.44140625e-4,0.005126953125,0.076904296875
4,4096,0.111328125,0.00439453125,0.08251953125
4,4096,0,0.02001953125,0.18017578125
4,4096,2.44140625e-4,0.00146484375,0.18896484375
4,4096,0,0.001708984375,0.184814453125
4,4096,0,0.010498046875,0.18701171875
4,4096,2.44140625e-4,0.002197265625,0.171142578125
4,4096,0,0.001708984375,0.076171875
4,4096,0,0.003173828125,0.1865234375
4,4096,4.8828125e-4,0.0029296875,0.185546875
4,4096,0,0.002197265625,0.1884765625
4,4096,7.32421875e-4,0.013671875,0.077392578125
4,4096,0.119873046875,0.002685546875,0.189697265625
4,4096,4.8828125e-4,0.002685546875,0.077392578125
4,4096,0,0.008056640625,0.07763671875
4,4096,4.8828125e-4,9.765625e-4,0.1767578125
4,4096,4.8828125e-4,0.0068359375,0.072265625
4,4096,4.8828125e-4,0.001708984375,0.183837890625
4,4096,4.8828125e-4,0.00732421875,0.18408203125
4,4096,2.44140625e-4,0.00146484375,0.175537109375
4,4096,7.32421875e-4,0.006591796875,0.182373046875
4,4096,4.8828125e-4,0.00244140625,0.193115234375
4,4096,0,0.003662109375,0.0751953125
4,2048,0.0029296875,0.01123046875,0.07861328125
4,2048,0.005859375,0.00732421875,0.169921875
4,2048,0.0048828125,0.1337890625,0.19921875
4,2048,0.0048828125,0.03173828125,0.0849609375
4,2048,0.00244140625,0.00537109375,0.19482421875
4,2048,0.0029296875,0.005859375,0.17578125
4,2048,0.00439453125,0.0068359375,0.189453125
4,2048,0.00146484375,0.00830078125,0.1875
4,2048,0.0078125,0.00830078125,0.07568359375
4,2048,0.0029296875,0.0068359375,0.08056640625
4,2048,0.00244140625,0.00146484375,0.1845703125
