K,n,error.ssc2
4,4096,0.131591796875
4,4096,0.001220703125
4,4096,0.001220703125
4,4096,0.1552734375
4,4096,0.128662109375
4,4096,0.001953125
4,4096,0.12451171875
4,4096,0.128662109375
4,4096,0.123291015625
4,4096,0.12548828125
4,4096,9.765625e-4
4,4096,0.115478515625
4,4096,0.00146484375
4,4096,0.126708984375
4,4096,9.765625e-4
4,4096,0.114013671875
4,4096,0.118408203125
4,4096,0.105224609375
4,4096,0.12841796875
4,4096,0.12255859375
4,4096,7.32421875e-4
4,4096,0.123779296875
4,4096,0.1279296875
4,4096,0.1123046875
4,4096,0.11669921875
4,4096,0.116943359375
4,4096,0.123779296875
4,4096,0.123291015625
4,4096,0.11279296875
4,4096,0.134521484375
4,4096,0.118408203125
4,4096,7.32421875e-4
4,4096,0.12109375
4,4096,0.001220703125
4,4096,0.11767578125
4,4096,0.1669921875
4,4096,0.156005859375
4,4096,0.118408203125
4,4096,7.32421875e-4
4,4096,7.32421875e-4
4,4096,0.0029296875
4,4096,0.117431640625
4,4096,0.120361328125
4,4096,0.001953125
4,4096,0.119873046875
4,4096,0.001953125
4,4096,0.002197265625
4,4096,0.1572265625
4,4096,0.11865234375
4,4096,0.12353515625
4,2048,0.10888671875
4,2048,0.11572265625
4,2048,0.00537109375
4,2048,0.138671875
4,2048,0.13037109375
4,2048,0.10693359375
4,2048,0.00634765625
4,2048,0.119140625
4,2048,0.12109375
4,2048,0.00390625
4,2048,0.1220703125
4,2048,0.123046875
4,2048,0.12646484375
4,2048,4.8828125e-4
4,2048,0.17041015625
4,2048,0.13720703125
4,2048,0.12451171875
4,2048,0.11376953125
4,2048,0.1328125
4,2048,0.1171875
4,2048,0.134765625
4,2048,0.00634765625
4,2048,0.138671875
4,2048,0.00537109375
4,2048,0.00537109375
4,2048,0.134765625
4,2048,0.00537109375
4,2048,0.00390625
4,2048,0.00341796875
4,2048,0.1298828125
4,2048,0.1220703125
4,2048,0.00146484375
4,2048,0.0087890625
4,2048,0.0048828125
4,2048,0.12353515625
4,2048,0.0068359375
4,2048,0.13134765625
4,2048,0.00537109375
4,2048,0.005859375
4,2048,0.11669921875
4,2048,0.126953125
4,2048,0.12939453125
4,2048,0.119140625
4,2048,0.00244140625
4,2048,0.12548828125
4,2048,0.005859375
4,2048,0.12255859375
4,2048,0.12744140625
4,2048,0.115234375
4,2048,0.00244140625
4,1024,0.150390625
4,1024,0.017578125
4,1024,0.03125
4,1024,0.1240234375
4,1024,0.013671875
4,1024,0.0234375
4,1024,0.0380859375
4,1024,0.0087890625
4,1024,0.130859375
4,1024,0.025390625
4,1024,0.1064453125
4,1024,0.0283203125
4,1024,0.021484375
4,1024,0.015625
4,1024,0.0205078125
4,1024,0.017578125
4,1024,0.1435546875
4,1024,0.0146484375
4,1024,0.015625
4,1024,0.025390625
4,1024,0.029296875
4,1024,0.015625
4,1024,0.1259765625
4,1024,0.017578125
4,1024,0.013671875
4,1024,0.0302734375
4,1024,0.02734375
4,1024,0.0234375
4,1024,0.0458984375
4,1024,0.025390625
4,1024,0.01953125
4,1024,0.0185546875
4,1024,0.0234375
4,1024,0.1328125
4,1024,0.1083984375
4,1024,0.0205078125
4,1024,0.0283203125
4,1024,0.0263671875
4,1024,0.0302734375
4,1024,0.1328125
4,1024,0.017578125
4,1024,0.1318359375
4,1024,0.1455078125
4,1024,0.0205078125
4,1024,0.01953125
4,1024,0.02734375
4,1024,0.021484375
4,1024,0.0146484375
4,1024,0.0244140625
4,1024,0.0185546875
4,512,0.04296875
4,512,0.076171875
4,512,0.115234375
4,512,0.19140625
4,512,0.083984375
4,512,0.087890625
4,512,0.060546875
4,512,0.240234375
4,512,0.16796875
4,512,0.177734375
4,512,0.060546875
4,512,0.24609375
4,512,0.177734375
4,512,0.091796875
4,512,0.177734375
4,512,0.060546875
4,512,0.080078125
4,512,0.080078125
4,512,0.19140625
4,512,0.056640625
4,512,0.09765625
4,512,0.21875
4,512,0.0546875
4,512,0.048828125
4,512,0.052734375
4,512,0.201171875
4,512,0.056640625
4,512,0.078125
4,512,0.06640625
4,512,0.09375
4,512,0.080078125
4,512,0.173828125
4,512,0.18359375
4,512,0.1796875
4,512,0.244140625
4,512,0.080078125
4,512,0.05859375
4,512,0.19140625
4,512,0.08203125
4,512,0.095703125
4,512,0.056640625
4,512,0.068359375
4,512,0.091796875
4,512,0.0703125
4,512,0.15234375
4,512,0.18359375
4,512,0.048828125
4,512,0.197265625
4,512,0.1953125
4,512,0.07421875
4,256,0.3203125
4,256,0.265625
4,256,0.2421875
4,256,0.2109375
4,256,0.2265625
4,256,0.33984375
4,256,0.2578125
4,256,0.33203125
4,256,0.25
4,256,0.3046875
4,256,0.1953125
4,256,0.2421875
4,256,0.37890625
4,256,0.20703125
4,256,0.3046875
4,256,0.26171875
4,256,0.26171875
4,256,0.3046875
4,256,0.203125
4,256,0.3125
4,256,0.328125
4,256,0.23046875
4,256,0.26953125
4,256,0.24609375
4,256,0.30078125
4,256,0.29296875
4,256,0.2890625
4,256,0.2421875
4,256,0.3046875
4,256,0.25
4,256,0.23828125
4,256,0.22265625
4,256,0.30859375
4,256,0.40234375
4,256,0.28515625
4,256,0.1640625
4,256,0.32421875
4,256,0.265625
4,256,0.24609375
4,256,0.35546875
4,256,0.17578125
4,256,0.28515625
4,256,0.21484375
4,256,0.46875
4,256,0.2890625
4,256,0.29296875
4,256,0.25
4,256,0.2578125
4,256,0.25390625
4,256,0.359375
4,128,0.328125
4,128,0.4609375
4,128,0.359375
4,128,0.4375
4,128,0.3359375
4,128,0.328125
4,128,0.40625
4,128,0.234375
4,128,0.4453125
4,128,0.2890625
4,128,0.375
4,128,0.46875
4,128,0.4375
4,128,0.3671875
4,128,0.390625
4,128,0.4453125
4,128,0.296875
4,128,0.3515625
4,128,0.3359375
4,128,0.484375
4,128,0.6015625
4,128,0.4296875
4,128,0.40625
4,128,0.34375
4,128,0.3828125
4,128,0.5078125
4,128,0.328125
4,128,0.453125
4,128,0.4921875
4,128,0.34375
4,128,0.2734375
4,128,0.3828125
4,128,0.359375
4,128,0.4296875
4,128,0.4609375
4,128,0.4140625
4,128,0.421875
4,128,0.3359375
4,128,0.40625
4,128,0.3046875
4,128,0.3671875
4,128,0.4140625
4,128,0.3125
4,128,0.375
4,128,0.359375
4,128,0.25
4,128,0.5234375
4,128,0.25
4,128,0.359375
4,128,0.5
