K,n,error.ssc2
4,4096,2.44140625e-4
4,4096,0
4,4096,0
4,4096,0
4,4096,0
4,4096,4.8828125e-4
4,4096,2.44140625e-4
4,4096,2.44140625e-4
4,4096,7.32421875e-4
4,4096,0
4,4096,7.32421875e-4
4,4096,2.44140625e-4
4,4096,0
4,4096,0
4,4096,2.44140625e-4
4,4096,0
4,4096,2.44140625e-4
4,4096,0
4,4096,0
4,4096,0
4,4096,2.44140625e-4
4,4096,9.765625e-4
4,4096,2.44140625e-4
4,4096,4.8828125e-4
4,4096,2.44140625e-4
4,4096,2.44140625e-4
4,4096,4.8828125e-4
4,4096,2.44140625e-4
4,4096,0
4,4096,0
4,4096,4.8828125e-4
4,4096,0
4,4096,7.32421875e-4
4,4096,2.44140625e-4
4,4096,4.8828125e-4
4,4096,2.44140625e-4
4,4096,2.44140625e-4
4,4096,2.44140625e-4
4,4096,2.44140625e-4
4,4096,0
4,4096,2.44140625e-4
4,4096,0
4,4096,0
4,4096,0
4,4096,0
4,4096,2.44140625e-4
4,4096,2.44140625e-4
4,4096,2.44140625e-4
4,4096,0
4,4096,0
4,2048,0.00244140625
4,2048,0.0048828125
4,2048,0.00390625
4,2048,0.00390625
4,2048,0.001953125
4,2048,0.001953125
4,2048,0.001953125
4,2048,0.00244140625
4,2048,0.00244140625
4,2048,4.8828125e-4
4,2048,0.0029296875
4,2048,0.00244140625
4,2048,0.001953125
4,2048,0.0029296875
4,2048,0.00390625
4,2048,0.00244140625
4,2048,0.00341796875
4,2048,0.0029296875
4,2048,0.00341796875
4,2048,0.00390625
4,2048,0.00341796875
4,2048,0.0029296875
4,2048,0.00244140625
4,2048,0.00537109375
4,2048,0.00341796875
4,2048,0.00439453125
4,2048,0.00146484375
4,2048,0.00146484375
4,2048,0.001953125
4,2048,0.001953125
4,2048,0.00341796875
4,2048,0.00244140625
4,2048,0.00341796875
4,2048,0.0029296875
4,2048,0.00244140625
4,2048,0.00341796875
4,2048,9.765625e-4
4,2048,0.0029296875
4,2048,0.00341796875
4,2048,0.00244140625
4,2048,0.00146484375
4,2048,0.00244140625
4,2048,0.00341796875
4,2048,0.00146484375
4,2048,0.0029296875
4,2048,0.0029296875
4,2048,0.0029296875
4,2048,0.0029296875
4,2048,0.0029296875
4,2048,0.005859375
4,1024,0.01171875
4,1024,0.0087890625
4,1024,0.0107421875
4,1024,0.017578125
4,1024,0.01171875
4,1024,0.0146484375
4,1024,0.01171875
4,1024,0.01953125
4,1024,0.015625
4,1024,0.01953125
4,1024,0.0087890625
4,1024,0.0205078125
4,1024,0.01171875
4,1024,0.0234375
4,1024,0.0146484375
4,1024,0.0166015625
4,1024,0.013671875
4,1024,0.0107421875
4,1024,0.0078125
4,1024,0.01171875
4,1024,0.0068359375
4,1024,0.0068359375
4,1024,0.01953125
4,1024,0.015625
4,1024,0.0078125
4,1024,0.01953125
4,1024,0.01953125
4,1024,0.0244140625
4,1024,0.0107421875
4,1024,0.0166015625
4,1024,0.0205078125
4,1024,0.009765625
4,1024,0.009765625
4,1024,0.017578125
4,1024,0.01171875
4,1024,0.017578125
4,1024,0.0234375
4,1024,0.0166015625
4,1024,0.0146484375
4,1024,0.017578125
4,1024,0.0205078125
4,1024,0.0107421875
4,1024,0.0234375
4,1024,0.0146484375
4,1024,0.0146484375
4,1024,0.01953125
4,1024,0.0126953125
4,1024,0.0107421875
4,1024,0.0146484375
4,1024,0.013671875
4,512,0.052734375
4,512,0.05859375
4,512,0.052734375
4,512,0.046875
4,512,0.060546875
4,512,0.03515625
4,512,0.0625
4,512,0.087890625
4,512,0.0546875
4,512,0.04296875
4,512,0.05859375
4,512,0.0625
4,512,0.078125
4,512,0.060546875
4,512,0.08203125
4,512,0.05078125
4,512,0.056640625
4,512,0.064453125
4,512,0.087890625
4,512,0.0625
4,512,0.076171875
4,512,0.078125
4,512,0.068359375
4,512,0.0390625
4,512,0.041015625
4,512,0.0625
4,512,0.041015625
4,512,0.048828125
4,512,0.056640625
4,512,0.03515625
4,512,0.05078125
4,512,0.0390625
4,512,0.060546875
4,512,0.0625
4,512,0.046875
4,512,0.048828125
4,512,0.05859375
4,512,0.052734375
4,512,0.080078125
4,512,0.08203125
4,512,0.041015625
4,512,0.05078125
4,512,0.048828125
4,512,0.09375
4,512,0.060546875
4,512,0.056640625
4,512,0.05859375
4,512,0.029296875
4,512,0.052734375
4,512,0.056640625
4,256,0.3671875
4,256,0.27734375
4,256,0.1953125
4,256,0.359375
4,256,0.2109375
4,256,0.39453125
4,256,0.14453125
4,256,0.16015625
4,256,0.15625
4,256,0.20703125
4,256,0.24609375
4,256,0.234375
4,256,0.16015625
4,256,0.39453125
4,256,0.2109375
4,256,0.26953125
4,256,0.1875
4,256,0.21875
4,256,0.11328125
4,256,0.16015625
4,256,0.375
4,256,0.23046875
4,256,0.16796875
4,256,0.1640625
4,256,0.140625
4,256,0.46484375
4,256,0.140625
4,256,0.3671875
4,256,0.13671875
4,256,0.15625
4,256,0.21484375
4,256,0.14453125
4,256,0.28515625
4,256,0.1640625
4,256,0.1953125
4,256,0.1171875
4,256,0.17578125
4,256,0.30078125
4,256,0.36328125
4,256,0.17578125
4,256,0.328125
4,256,0.1796875
4,256,0.171875
4,256,0.19140625
4,256,0.23046875
4,256,0.1484375
4,256,0.21484375
4,256,0.203125
4,256,0.16796875
4,256,0.203125
4,128,0.4375
4,128,0.4921875
4,128,0.3671875
4,128,0.4296875
4,128,0.5390625
4,128,0.578125
4,128,0.2734375
4,128,0.5078125
4,128,0.3203125
4,128,0.390625
4,128,0.5859375
4,128,0.5078125
4,128,0.546875
4,128,0.390625
4,128,0.40625
4,128,0.5234375
4,128,0.6796875
4,128,0.5
4,128,0.546875
4,128,0.3203125
4,128,0.625
4,128,0.578125
4,128,0.5390625
4,128,0.453125
4,128,0.609375
4,128,0.546875
4,128,0.6484375
4,128,0.3984375
4,128,0.421875
4,128,0.3828125
4,128,0.5234375
4,128,0.5703125
4,128,0.5625
4,128,0.421875
4,128,0.5078125
4,128,0.3359375
4,128,0.5703125
4,128,0.5234375
4,128,0.515625
4,128,0.515625
4,128,0.609375
4,128,0.4609375
4,128,0.390625
4,128,0.4921875
4,128,0.421875
4,128,0.53125
4,128,0.5234375
4,128,0.5546875
4,128,0.609375
4,128,0.359375
3,4096,0
3,4096,0.001708984375
3,4096,2.44140625e-4
3,4096,0.00146484375
3,4096,0.001220703125
3,4096,0.001953125
3,4096,7.32421875e-4
3,4096,7.32421875e-4
3,4096,4.8828125e-4
3,4096,7.32421875e-4
3,4096,0.001708984375
3,4096,2.44140625e-4
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,7.32421875e-4
3,4096,2.44140625e-4
3,4096,0.001708984375
3,4096,0.001220703125
3,4096,7.32421875e-4
3,4096,0.001220703125
3,4096,7.32421875e-4
3,4096,0.00146484375
3,4096,2.44140625e-4
3,4096,2.44140625e-4
3,4096,0.00146484375
3,4096,4.8828125e-4
3,4096,0.001220703125
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,9.765625e-4
3,4096,0.00146484375
3,4096,0.27880859375
3,4096,0.001220703125
3,4096,9.765625e-4
3,4096,7.32421875e-4
3,4096,0.314697265625
3,4096,0.001220703125
3,4096,9.765625e-4
3,4096,0.00146484375
3,4096,7.32421875e-4
3,4096,0.00146484375
