n,error,error.ssc
64,0.171875,0.40625
64,0.1875,0.109375
64,0.125,0.15625
64,0.1875,0.09375
64,0.203125,0.3125
64,0.109375,0.046875
64,0.125,0.109375
64,0.109375,0.140625
64,0.171875,0.09375
64,0.03125,0.171875
64,0.03125,0.21875
64,0.109375,0.15625
64,0.140625,0.328125
64,0.03125,0.125
64,0.046875,0.140625
64,0.03125,0.078125
64,0.28125,0.203125
64,0.125,0.09375
64,0.09375,0.40625
64,0.078125,0.0625
64,0.046875,0.09375
64,0.140625,0.03125
64,0.109375,0.09375
64,0.046875,0.109375
64,0.09375,0.1875
64,0.109375,0.03125
64,0.078125,0.21875
64,0.0625,0.109375
64,0.140625,0.109375
64,0.09375,0.03125
64,0.140625,0.03125
64,0.15625,0.078125
64,0.0625,0.140625
64,0.296875,0.234375
64,0.1875,0.484375
64,0.03125,0.078125
64,0.265625,0.015625
64,0.0625,0.125
64,0.125,0.109375
64,0.109375,0.15625
64,0.09375,0
64,0.171875,0.109375
64,0.015625,0.0625
64,0.15625,0.390625
64,0.203125,0.140625
64,0.203125,0.03125
64,0.0625,0.15625
64,0.203125,0.4375
64,0.0625,0.0625
64,0.140625,0.421875
64,0.25,0.125
64,0.1875,0.484375
64,0.015625,0.015625
64,0.078125,0.1875
64,0.296875,0.375
64,0.125,0.234375
64,0.0625,0.09375
64,0.171875,0.390625
64,0.09375,0.078125
64,0.1875,0.21875
64,0.046875,0.1875
64,0.109375,0.5
64,0.09375,0.0625
64,0.0625,0.296875
64,0.265625,0.484375
64,0.109375,0.234375
64,0.09375,0.125
64,0.109375,0.0625
64,0.015625,0.109375
64,0.09375,0.046875
64,0.140625,0.078125
64,0.1875,0.078125
64,0.0625,0.171875
64,0.078125,0.203125
64,0.046875,0.109375
64,0.09375,0.078125
64,0.25,0.109375
64,0.171875,0.0625
64,0.109375,0.40625
64,0.140625,0.078125
64,0.0625,0.03125
64,0.109375,0.265625
64,0.09375,0.046875
64,0.234375,0.15625
64,0.0625,0.09375
64,0.015625,0.484375
64,0.171875,0.015625
64,0.234375,0.140625
64,0.140625,0.171875
64,0.125,0.25
64,0.125,0.328125
64,0.078125,0.265625
64,0.171875,0.421875
64,0.09375,0.140625
64,0.0625,0.203125
64,0.234375,0.15625
64,0.078125,0.125
64,0.171875,0.09375
64,0.125,0.171875
128,0.0234375,0.03125
128,0.0546875,0.171875
128,0.046875,0.03125
128,0.046875,0.0390625
128,0.109375,0.0546875
128,0.125,0.046875
128,0.0546875,0.0390625
128,0.03125,0.078125
128,0.15625,0.484375
128,0.046875,0.1171875
128,0.03125,0.1640625
128,0.15625,0.0390625
128,0.109375,0.484375
128,0.1796875,0.015625
128,0.0546875,0.125
128,0.0546875,0.046875
128,0.0859375,0.078125
128,0.0625,0.0703125
128,0.0390625,0.46875
128,0.234375,0.2109375
128,0.15625,0.1640625
128,0.1796875,0.03125
128,0.0625,0.171875
128,0.171875,0.3984375
128,0.1328125,0.03125
128,0.0546875,0.0390625
128,0.0390625,0.0234375
128,0.140625,0.078125
128,0.0703125,0.03125
128,0.046875,0.015625
128,0.0625,0.0859375
128,0.0390625,0.1484375
128,0.0234375,0.0546875
