K,n,error.mm
2,64,0.06251107409901135
2,64,0.23812898653437276
2,64,0.06251476633747577
2,64,0.06250516742455559
2,64,0.12303912303912301
2,64,0.23815524193548387
2,64,0.34531456264230853
2,64,0.0625
2,64,0.23810672086534157
2,64,0.34531456264230853
2,64,0.06250516742455559
2,64,0.23811984538746145
2,64,0.12304312002197204
2,64,0.0625
2,64,0
2,64,0.18156262918561394
2,64,0.12302180578042643
2,64,0.23810672086534157
2,64,0.12301587301587302
2,64,0.12303912303912301
2,64,0.18159051174219154
2,64,0
2,64,0.23809523809523814
2,64,0
2,64,0
2,64,0.0625
2,64,0
2,64,0.12301587301587302
2,64,0.12304312002197204
2,64,0.23803901194918053
2,64,0
2,64,0.12303912303912301
2,64,0.18154761904761907
2,64,0.06251107409901135
2,64,0.0625
2,64,0.12306432048393956
2,64,0.12301587301587302
2,64,0.12304312002197204
2,64,0.0625
2,64,0.18154761904761907
2,64,0.2926587301587301
2,64,0.18154761904761907
2,64,0
2,64,0.181624840493407
2,64,0.06250516742455559
2,64,0.1230285867835218
2,64,0.1230285867835218
2,64,0
2,64,0.12303330970942594
2,64,0.12313221108379047
2,64,0
2,64,0.06251107409901124
2,64,0.0625
2,64,0.12303912303912301
2,64,0.12301587301587302
2,64,0.18156763311652524
2,64,0.06251476633747577
2,64,0.12302180578042643
2,64,0.12303912303912301
2,64,0.23803901194918053
2,64,0.12306432048393956
2,64,0.12304312002197204
2,64,0.06251476633747577
2,64,0.12302180578042643
2,64,0.23832040854927183
2,64,0.12303330970942594
2,64,0.12301587301587302
2,64,0
2,64,0.06269250817419325
2,64,0.12303912303912301
2,64,0.06251107409901135
2,64,0.23812898653437276
2,64,0.06269250817419325
2,64,0.12306432048393956
2,64,0.12301587301587302
2,64,0.18152260766538997
2,64,0.23809523809523814
2,64,0.123046875
2,64,0.12303330970942594
2,64,0.06251476633747577
2,64,0.12303330970942594
2,64,0.12303912303912301
2,64,0.12303330970942594
2,64,0.06251107409901124
2,64,0.0625
2,64,0
2,64,0.12303330970942594
2,64,0.06259758694109296
2,64,0.12302568054780438
2,64,0.18154761904761907
2,64,0.18157978666855668
2,64,0.1230285867835218
2,64,0.06251107409901135
2,64,0.6572723410281829
2,64,0.18156262918561394
2,64,0.23811984538746145
2,64,0.18154761904761907
2,64,0.12303330970942594
2,64,0.18154761904761907
2,64,0.06251107409901124
2,128,0.03125121855581059
2,128,0.20842464227240587
2,128,0.1801258862722106
2,128,0.15133464103798067
2,128,0.03125121855581059
2,128,0.09227471709080337
2,128,0.09227639322822057
2,128,0.12204913585987753
2,128,0.06200835458145715
2,128,0.06200742724649688
2,128,0.09227210243801787
2,128,0.09227639322822057
2,128,0.0922777341819978
2,128,0.092282383123514
2,128,0.09227471709080337
2,128,0.062010551011744575
2,128,0.031251877069620626
2,128,0.12205386552993602
2,128,0.0922922413231364
2,128,0.15133669362602808
2,128,0.1513297663645109
2,128,0.12205339993677367
2,128,0.0312510293328373
2,128,0.06201148219496844
2,128,0.09235524043268795
2,128,0.0922734656145715
2,128,0.0922922413231364
2,128,0.06200793408605432
2,128,0.0312510293328373
2,128,0.0922777341819978
2,128,0.06200793408605432
2,128,0.06200955602831937
2,128,0.12204636473913666
2,128,0.12204913585987753
2,128,0.09227210243801787
2,128,0.12205434590755693
2,128,0.09227666141585822
2,128,0.06201148219496844
2,128,0.03125069630596966
2,128,0.0922772201451102
2,128,0.12204346073963857
2,128,0.06200763373568674
2,128,0.06200955602831937
2,128,0.15133328489428177
2,128,0.06201148219496844
2,128,0.12205251310248144
2,128,0.12204760618566901
2,128,0.06200835458145715
2,128,0
2,128,0.06201148219496844
2,128,0.09227639322822057
2,128,0.09228008094488993
2,128,0.15133053602891755
2,128,0.062008835154615194
2,128,0.15133079258545967
2,128,0.09227666141585822
2,128,0.1801083393392695
2,128,0.062010551011744575
2,128,0.06200805798142861
2,128,0.06201081759763305
2,128,0.12204843383072173
2,128,0.06200805798142861
2,128,0.062016889617980686
2,128,0.12205303781121424
2,128,0.09227424778323834
2,128,0.15141414618720306
2,128,0.031251642423586246
2,128,0.031249947021468216
2,128,0.12205251310248144
2,128,0.1513219968575088
2,128,0.062016044645971435
2,128,0.09227916457565144
2,128,0.09227847172318782
2,128,0
2,128,0.062010551011744575
2,128,0.06207691143895688
2,128,0.18012126201280987
2,128,0.031251877069620626
2,128,0.09227847172318782
2,128,0.031251642423586246
2,128,0.15132789721211704
2,128,0.06200955602831937
2,128,0.18011252673672462
