K,n,rho,rmse,rmse.mle
3,2048,0.1,0.10103963121942793,0.0898912674052076
3,2048,0.1,0.10080142315073318,0.08978559069910784
3,2048,0.1,0.09855682679618505,0.0873076471905226
3,2048,0.1,0.09921167159347276,0.08746175406478834
3,2048,0.1,0.09983153150697506,0.08963300850669252
3,2048,0.1,0.10031302369540067,0.0893227897656717
3,2048,0.1,0.101215286126199,0.08980576646777594
3,2048,0.1,0.09874268049385741,0.08847315367062629
3,2048,0.1,0.10025432107419403,0.08907890879968139
3,2048,0.1,0.10091859275287579,0.08932006498573475
3,2048,0.1,0.10153488617469779,0.08939136270766279
3,2048,0.1,0.09885102908836639,0.08838689936728278
3,2048,0.1,0.09994920185081255,0.08871875216854011
3,2048,0.1,0.1023096485533564,0.09042259758928986
3,2048,0.1,0.10132913284767145,0.08946527704134041
3,2048,0.1,0.09997076339891352,0.08912891692213572
3,2048,0.1,0.09979256166732534,0.08827315118021098
3,2048,0.1,0.1002833070612116,0.08973136427675563
3,2048,0.1,0.10007746750072294,0.08978832759402218
3,2048,0.1,0.10127801217844502,0.08864856048531944
3,2048,0.1,0.10125151372713585,0.0892292194544261
3,2048,0.1,0.0985745111423771,0.0867339638114013
3,2048,0.1,0.10213376022701941,0.09073903877578875
3,2048,0.1,0.10104634914645143,0.08961314946198515
3,2048,0.1,0.0994915181210273,0.08926373861408754
3,2048,0.1,0.1002485296632005,0.08907770187299363
3,2048,0.1,0.10103063705644508,0.08985618676390558
3,2048,0.1,0.09861387902645818,0.08748272549313645
3,2048,0.1,0.10182011420273474,0.08950878859723102
3,2048,0.1,0.0999430848680712,0.08911073696368506
3,2048,0.1,0.10027957083495265,0.08910943481326451
3,2048,0.1,0.09712982153215738,0.0866550057186351
3,2048,0.1,0.1014755918690394,0.08960649657777688
3,2048,0.1,0.10127259615564957,0.08968820393723259
3,2048,0.1,0.1026067879001054,0.09074609177814719
3,2048,0.1,0.10181114703988255,0.08901338750185964
3,2048,0.1,0.10100751745750862,0.08832730381217971
3,2048,0.1,0.098338281918703,0.08859383116920538
3,2048,0.1,0.09893712111099602,0.08780689767209565
3,2048,0.1,0.10058966961830322,0.08931784980511645
3,2048,0.1,0.10208958239776048,0.09010014003449293
3,2048,0.1,0.10299182304905549,0.09095896168921772
3,2048,0.1,0.1004599453307439,0.08978585945595602
3,2048,0.1,0.10188570893492178,0.09045311934630451
3,2048,0.1,0.0999243021612297,0.08748546742983519
3,2048,0.1,0.10056141208419551,0.08999112368346875
3,2048,0.1,0.09858941867191677,0.08697649309255688
3,2048,0.1,0.10056787908591286,0.09049419766915034
3,2048,0.1,0.10329224015632295,0.09138163486672195
3,2048,0.1,0.10109784384124287,0.08999818951145858
3,2048,0.2,0.06555977803555563,0.06045305498673964
3,2048,0.2,0.0673914335112047,0.06129092332269711
3,2048,0.2,0.06773954912167632,0.06220615424557952
3,2048,0.2,0.06664120818893969,0.06206559836267542
3,2048,0.2,0.06716200077998652,0.06191890085134086
3,2048,0.2,0.06673145183116118,0.0618869616379085
3,2048,0.2,0.06684221602983215,0.06163439485235519
3,2048,0.2,0.06603646674005109,0.060432510584948695
3,2048,0.2,0.06581992023797326,0.06114868705503233
3,2048,0.2,0.06701370029848104,0.06220457311243304
3,2048,0.2,0.06682669966798828,0.06223788769653229
3,2048,0.2,0.06666179490032877,0.061045685327687435
3,2048,0.2,0.06650436502504034,0.06122546400162798
3,2048,0.2,0.06735387586082957,0.06218494713132194
3,2048,0.2,0.0666718702487331,0.061445775540650165
3,2048,0.2,0.06462638415696516,0.06067577096192933
3,2048,0.2,0.06541947158899132,0.060843445678577
3,2048,0.2,0.06523684497304057,0.060386548911165676
3,2048,0.2,0.06626324344836682,0.061639375575761574
3,2048,0.2,0.06594778706044646,0.06069605128339609
3,2048,0.2,0.06553595791622802,0.06069860827473232
3,2048,0.2,0.06668065875399277,0.0613108795722379
3,2048,0.2,0.06431600651966567,0.05991199117186708
3,2048,0.2,0.06589859937329422,0.06069964805765419
3,2048,0.2,0.06625496652838553,0.0611930364548111
3,2048,0.2,0.06656714690059365,0.06154707319579676
3,2048,0.2,0.066157344462759,0.06046821214502878
3,2048,0.2,0.06669199509454676,0.061098070634475386
3,2048,0.2,0.06431853404482661,0.05989646422134388
3,2048,0.2,0.06648234548752124,0.06136225524039273
3,2048,0.2,0.06550039378484236,0.06039262971704207
3,2048,0.2,0.06768471986720974,0.06220434325283042
3,2048,0.2,0.06701100261437604,0.061768344868836686
3,2048,0.2,0.06537578536687196,0.06033832884599745
3,2048,0.2,0.06568024614894848,0.0605417914529441
3,2048,0.2,0.0674567037534606,0.06251778140550991
3,2048,0.2,0.0669452087399447,0.061372880236879486
3,2048,0.2,0.06589989774465511,0.060921413800163096
3,2048,0.2,0.06546214693039386,0.06052491504276773
3,2048,0.2,0.06598399134535214,0.06050210799342931
3,2048,0.2,0.06752397348286944,0.06235940979138207
3,2048,0.2,0.06661562689290573,0.060755366092742125
3,2048,0.2,0.06609565951519962,0.05970902503217258
3,2048,0.2,0.06640609187927335,0.06097648354775454
3,2048,0.2,0.06631992655247367,0.06095698623620188
3,2048,0.2,0.06697207029565208,0.062059837412377264
3,2048,0.2,0.06672914684356043,0.06138422156926619
3,2048,0.2,0.06643930356929645,0.06126149069967527
3,2048,0.2,0.06607359354480945,0.06052530684427222
3,2048,0.2,0.0651185687102226,0.060145533483532417
3,2048,0.30000000000000004,0.051261930675654724,0.0477408603580339
3,2048,0.30000000000000004,0.051805517031123134,0.04861965791431225
3,2048,0.30000000000000004,0.05169206999121203,0.048096333281173596
3,2048,0.30000000000000004,0.05215358564257309,0.04866461037178665
3,2048,0.30000000000000004,0.0526140934049416,0.04921632464845458
3,2048,0.30000000000000004,0.0517814319782134,0.04879392418400012
3,2048,0.30000000000000004,0.051023289598179096,0.04815365723404573
3,2048,0.30000000000000004,0.052262011315403714,0.04914263416421596
3,2048,0.30000000000000004,0.05156033071007195,0.048603420583669364
3,2048,0.30000000000000004,0.051120274702443895,0.048083897314276265
3,2048,0.30000000000000004,0.051754083716141736,0.04884551015834832
3,2048,0.30000000000000004,0.05135491048093754,0.048232466103748754
3,2048,0.30000000000000004,0.05256383625472104,0.04917535383199609
3,2048,0.30000000000000004,0.05174561792575286,0.04840673710270637
3,2048,0.30000000000000004,0.05198067142189029,0.04917125931159331
3,2048,0.30000000000000004,0.051399307978487366,0.04851261983403961
3,2048,0.30000000000000004,0.05102573543471589,0.04844160714354817
3,2048,0.30000000000000004,0.05271769813818502,0.04913439799571489
3,2048,0.30000000000000004,0.05215831085489295,0.048565102132821523
3,2048,0.30000000000000004,0.051936092524413426,0.04916384198322022
3,2048,0.30000000000000004,0.050631198917613966,0.0474606522981961
3,2048,0.30000000000000004,0.052131802726634896,0.04880003836788337
3,2048,0.30000000000000004,0.05221858277680783,0.049150506529080096
3,2048,0.30000000000000004,0.050916724918001845,0.04792478328110296
3,2048,0.30000000000000004,0.05188008373414343,0.048807394358591924
3,2048,0.30000000000000004,0.052356640977189735,0.0490430578072085
3,2048,0.30000000000000004,0.05342022079374042,0.04989452049016554
3,2048,0.30000000000000004,0.05217087626607189,0.04855836265298966
3,2048,0.30000000000000004,0.051889991257236395,0.048706285751713305
3,2048,0.30000000000000004,0.05195248190911463,0.049212207442818075
3,2048,0.30000000000000004,0.051133228241820775,0.04790073911458637
3,2048,0.30000000000000004,0.05191013798357009,0.04851856009391753
3,2048,0.30000000000000004,0.051898726324556874,0.04870940668249761
3,2048,0.30000000000000004,0.05150341933546921,0.04870611303155381
3,2048,0.30000000000000004,0.05180759055937722,0.04823260956176153
3,2048,0.30000000000000004,0.051912379668625795,0.04853602005625466
3,2048,0.30000000000000004,0.05160575980923965,0.048758865088215406
3,2048,0.30000000000000004,0.05211747023967653,0.04916598493887627
3,2048,0.30000000000000004,0.0528369183022999,0.04969884804849081
3,2048,0.30000000000000004,0.0519354294404263,0.04853217703308348
3,2048,0.30000000000000004,0.05209405386294118,0.048634638008377806
3,2048,0.30000000000000004,0.05173982906434512,0.04860612805183529
3,2048,0.30000000000000004,0.05182016521674106,0.048171257295639654
3,2048,0.30000000000000004,0.05114750585915463,0.04790030039124991
3,2048,0.30000000000000004,0.05176034183633126,0.048907210442532864
3,2048,0.30000000000000004,0.05118069283483983,0.04771066052768586
3,2048,0.30000000000000004,0.0510483783710027,0.04780262535492325
3,2048,0.30000000000000004,0.052873537744396466,0.04972769475598377
3,2048,0.30000000000000004,0.05096087478856073,0.04814521577755499
3,2048,0.30000000000000004,0.05184603603337003,0.04827906798995331
3,2048,0.4,0.04306061534898041,0.04122518679909145
3,2048,0.4,0.04244533722982111,0.04039518185515994
3,2048,0.4,0.04338259930087408,0.0411116488069577
3,2048,0.4,0.0433721886308371,0.041049864686345396
3,2048,0.4,0.04350992342491072,0.04123946325693058
