K,n,rmse,rmse.mle
4,4096,0.01881297079125725,0.01939001306954738
4,4096,0.01897627867850917,0.01949544827826915
4,4096,0.01890779873031808,0.01948172786016245
4,4096,0.01887328917621606,0.01943612490805645
4,4096,0.01882197607125159,0.01942867385449923
4,4096,0.018918136095756,0.01942889979987892
4,4096,0.01903038989782362,0.01960303862724767
4,4096,0.018803671538774,0.01938344206464789
4,4096,0.01900455988048026,0.01958754031703237
4,4096,0.01895099408492524,0.01957732456953849
4,4096,0.01864131448907035,0.01926261975629355
4,4096,0.01886124742256812,0.01938094280788925
4,4096,0.01921929881790853,0.01968893799027148
4,4096,0.01895238840500574,0.01955003551943257
4,4096,0.01890090990703327,0.01951012734527807
4,4096,0.01882830856787079,0.01951952694377825
4,4096,0.01877883887801239,0.01949165506004349
4,4096,0.01891653327838933,0.01957719662613491
4,4096,0.01906543146798715,0.01958852269838483
4,4096,0.01913412096880379,0.01967089255980343
4,4096,0.0190214157945975,0.01957030581465921
4,4096,0.01884128741275974,0.01938207251791419
4,4096,0.01898081694079141,0.01954948619440895
4,4096,0.01902139990819591,0.01954126194693193
4,4096,0.0188161220736306,0.01943909972984307
4,4096,0.01859307595241661,0.0192639832079278
4,4096,0.01904223530730098,0.01964645242230216
4,4096,0.01890946695647444,0.01947562340476385
4,4096,0.01913814554495725,0.01981583746296766
4,4096,0.01882045654276769,0.0194532850784972
4,4096,0.01890980211889706,0.01955082655239346
4,4096,0.01871559810875145,0.01933270726188901
4,4096,0.01887383845694215,0.01940176048369777
4,4096,0.01903451396094855,0.01966888625619139
4,4096,0.01890667530533128,0.0195603330346569
4,4096,0.01901228997248304,0.0195895087137801
4,4096,0.01902443911519209,0.01964867521755849
4,4096,0.01900486915716414,0.01969810735765859
4,4096,0.01918499570346728,0.019765623392168
4,4096,0.01909155443076898,0.01970846932412863
4,4096,0.01899341967076655,0.0196620334577834
4,4096,0.0189416919064213,0.01953266377361155
4,4096,0.01901516220526617,0.01967217262353415
4,4096,0.01879868286145062,0.01945426506564175
4,4096,0.01892928166062053,0.0195081770710095
4,4096,0.01884509205282506,0.01951796105379522
4,4096,0.01897871000912162,0.01960762004586697
4,4096,0.01887408655928378,0.01946277610046097
4,4096,0.01907100478091347,0.0195730458335996
4,4096,0.01893534073792586,0.01949120658440371
4,2048,0.02674631798100536,0.02746070634085656
